name,poll
Clinton,48
Sanders,32.9
O'Malley,1
Lessig,0
Trump,20
Bush,4.6
Carson,18.1
Christie,2.1
Cruz,10.4
Fiorina,6
Graham,0
Huckabee,1.1
Jindal,0
Kasich,2
Pataki,0
Paul,3.4
Perry,0
Rubio,10.9
Santorum,0
Walker,0
Webb,0
