airport,Total Flights,Total Delays,Carrier,Weather,National Airspace System,Security,Late Arrival of the Same Aircraft at a Previous Airport,lat,lon
LIT,157313,12.0467157,4.515226389,0.787677913,2.162652911,0.020293262,4.560865226,34.72916667,-92.23444444
MCI,512712,10.92890505,4.06575127,0.634085438,2.17110652,0.021056173,4.036905649,39.2975,-94.71388889
MCO,1215175,10.63546249,3.873956917,0.488723382,2.72941261,0.029261939,3.514107644,28.43166667,-81.32472222
MDW,888434,12.23011057,4.18817455,0.787839354,3.336707812,0.012715899,3.904672956,41.785,-87.75194444
MEM,500879,10.78309922,3.922355643,0.663411669,2.311171705,0.015164511,3.870995696,35.04972222,-89.97861111
MHT,129213,13.17562316,4.979886374,0.861615302,2.198151129,0.015521751,5.120448602,42.93833333,-71.43888889
MIA,722846,11.0892711,3.939534919,0.478009321,3.071782969,0.018358689,3.581585202,25.7925,-80.28611111
MKE,370257,11.37605727,4.068076573,0.663479334,2.474024813,0.01518209,4.155294456,42.95027778,-87.89722222
MSN,111322,12.39982753,4.659505748,0.784080335,2.328904819,0.00661715,4.620719477,43.14194444,-89.33694444
MSP,1249696,11.72397632,3.817321796,0.664101922,3.30709302,0.019713277,3.915746306,44.88611111,-93.21777778
MSY,389730,10.63710454,3.922439516,0.590738121,2.433676044,0.012752275,3.677498588,29.99111111,-90.25138889
OAK,525344,8.450789593,3.611387923,0.262508113,1.391117841,0.027656239,3.158119477,37.72138889,-122.2208333
OGG,224675,9.780930583,4.851962792,0.204096746,2.185821232,0.021583167,2.517466645,20.90055556,-156.4336111
OKC,220763,12.2565378,4.514688447,0.758791907,2.33682428,0.014306824,4.631926347,35.39222222,-97.60166667
OMA,228096,11.12223457,4.182964874,0.719966818,2.215317403,0.01730456,3.986680919,41.30194444,-95.89333333
ONT,265123,9.024470223,3.328231893,0.401023954,1.491329787,0.017364019,3.78652057,34.05611111,-117.6011111
ORD,3214556,16.32225146,3.560330974,0.779228176,7.562879675,0.018312342,4.401500297,41.97805556,-87.90611111
ORF,152752,12.49757704,5.041827116,0.890558034,2.170872621,0.013447448,4.380871819,36.89583333,-76.20138889
PBI,253795,12.40384718,4.096956698,0.572935105,3.315118366,0.025794029,4.393042979,26.68222222,-80.09416667
PDX,543697,10.57244691,3.873938985,0.408171953,2.194861127,0.02094936,4.074525486,45.58916667,-122.595
PHL,871943,15.54434914,3.843548565,0.937939786,6.870021304,0.020627632,3.872211851,39.86805556,-75.24861111
PHX,1842164,10.62072393,4.53919529,0.402343446,2.370434413,0.020271604,3.288479175,33.43611111,-112.0094444
PIT,356015,11.555383,4.493446936,0.691121406,2.063165529,0.015838503,4.291810623,40.49666667,-80.23583333
PNS,94189,10.3048974,4.0103016,0.707967011,1.845192497,0.012615527,3.728820767,30.47333333,-87.1875
PSP,115521,9.597872474,3.493938503,0.375992945,1.689983587,0.020009246,4.017948194,33.82666667,-116.505
PVD,177539,12.77444961,4.998580014,0.76827423,2.391846564,0.021701169,4.594047635,41.72833333,-71.42611111
RDU,489148,11.76715557,4.257256169,0.671050644,2.303029616,0.015881527,4.519937618,35.87527778,-78.78194444
RIC,178863,12.54120282,4.497310722,0.788350077,2.343144144,0.014207035,4.898190837,37.50527778,-77.31972222
RNO,200579,9.024989903,3.66286242,0.393152548,1.324648359,0.021543762,3.622782813,39.49777778,-119.7675
ROC,119993,13.66051133,4.910728144,0.865688852,2.38869504,0.016724214,5.478675081,43.12138889,-77.67083333
RSW,275066,10.43123488,3.651101739,0.556703424,3.016647157,0.012504923,3.194277637,26.53611111,-81.755
